xo-x-o-xo [0] [0] [8] [0] [0] [0] [109] [0] [0] 
xo-x-oo-x [0] [0] [83] [0] [70] [0] [0] [18] [0] 
xo-x-o-ox [0] [0] [10] [0] [304] [0] [1] [0] [0] 
xo-xx-oo- [0] [0] [10] [0] [0] [82] [0] [0] [550] 
xo-xx-o-o [0] [0] [0] [0] [0] [28783] [0] [41] [0] 
xo-x-xoo- [0] [0] [0] [0] [25] [0] [0] [0] [0] 
xo-x-xo-o [0] [0] [0] [0] [82] [0] [0] [27] [0] 
xo-x--oxo [0] [0] [12] [0] [96] [10] [0] [0] [0] 
xo-x--oox [0] [0] [0] [0] [106] [1] [0] [0] [0] 
xo-xx--oo [0] [0] [0] [0] [0] [505] [772] [0] [0] 
xo-x-x-oo [0] [0] [0] [0] [10] [0] [16] [0] [0] 
xoooxx--- [0] [0] [0] [0] [0] [0] [1104] [101] [1330] 
xoo-xxo-- [0] [0] [0] [4] [0] [0] [0] [823] [2473] 
xoo-xx-o- [0] [0] [0] [553] [0] [0] [637] [0] [1522] 
xoo-xx--o [0] [0] [0] [2482] [0] [0] [110] [361] [0] 
xoo-xox-- [0] [0] [0] [10] [0] [0] [0] [7] [1219] 
xoo-x-xo- [0] [0] [0] [49] [0] [961] [0] [0] [88] 
xoo-x-x-o [0] [0] [0] [14245] [0] [1] [0] [0] [0] 
xooox--x- [0] [0] [0] [0] [0] [154] [1] [0] [1381] 
xoo-xo-x- [0] [0] [0] [0] [0] [0] [0] [0] [466] 
xoo-x-ox- [0] [0] [0] [1177] [0] [16] [0] [0] [1156] 
xoo-x--xo [0] [0] [0] [0] [0] [11424] [0] [0] [0] 
xo-oxx-o- [0] [0] [76] [0] [0] [0] [1954] [0] [211] 
xo-oxx--o [0] [0] [300] [0] [0] [0] [8448] [66] [0] 
xo--xoxo- [0] [0] [1] [13] [0] [0] [0] [0] [553] 
xo--xox-o [0] [0] [205] [310] [0] [0] [0] [0] [0] 
xo--xoox- [0] [0] [454] [192] [0] [0] [0] [0] [31] 
xo--xo-xo [0] [0] [167] [0] [0] [0] [0] [0] [0] 
xo--xxoo- [0] [0] [1] [817] [0] [0] [0] [0] [199] 
xo--xxo-o [0] [0] [0] [1336] [0] [0] [0] [5] [0] 
xo--x-oxo [0] [0] [3482] [16181] [0] [14076] [0] [0] [0] 
xo--xx-oo [0] [0] [0] [577] [0] [0] [865] [0] [0] 
xoo-oxx-- [0] [0] [0] [25] [0] [0] [0] [85] [0] 
xoo--xxo- [0] [0] [0] [145] [34] [0] [0] [0] [0] 
xoo--xx-o [0] [0] [0] [1] [98] [0] [0] [7] [0] 
xooo-x-x- [0] [0] [0] [0] [2] [0] [13] [0] [337] 
xoo-ox-x- [0] [0] [0] [0] [0] [0] [907] [0] [0] 
xoo--xox- [0] [0] [0] [0] [313] [0] [0] [0] [0] 
xoo--x-xo [0] [0] [0] [553] [8] [0] [2] [0] [0] 
xooo-x--x [0] [0] [0] [0] [856] [0] [52] [25] [0] 
xoo-ox--x [0] [0] [0] [0] [0] [0] [0] [0] [0] 
xoo--xo-x [0] [0] [0] [1] [541] [0] [0] [1] [0] 
xo-oox-x- [0] [0] [37] [0] [0] [0] [165] [0] [376] 
xo-o-x-xo [0] [0] [21] [0] [40] [0] [5] [0] [0] 
xo-oox--x [0] [0] [943] [0] [0] [0] [0] [7] [0] 
xo-o-xo-x [0] [0] [130] [0] [94] [0] [0] [148] [0] 
xo--oxx-o [0] [0] [0] [61] [0] [0] [0] [93] [0] 
xo--oxox- [0] [0] [297] [0] [0] [0] [0] [0] [0] 
xo--ox-xo [0] [0] [11] [1082] [0] [0] [43] [0] [0] 
xo--oxo-x [0] [0] [580] [0] [0] [0] [0] [0] [0] 
xo---xoxo [0] [0] [12] [58] [108] [0] [0] [0] [0] 
